graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,62,127,0,True,False,False
0,127,62,0,True,False,False
0,62,150,0,True,False,False
0,150,62,0,True,False,False
0,8,62,0,True,False,False
0,62,8,0,True,False,False
0,62,287,0,True,False,False
0,287,62,0,True,False,False
0,150,18,0,True,False,False
0,18,150,0,True,False,False
0,3,150,0,True,False,False
0,150,3,0,True,False,False
0,150,332,0,True,False,False
0,332,150,0,True,False,False
0,150,285,0,True,False,False
0,285,150,0,True,False,False
0,211,18,0,True,False,False
0,18,211,0,True,False,False
0,18,233,0,True,False,False
0,233,18,0,True,False,False
0,18,244,0,True,False,False
0,244,18,0,True,False,False
0,287,18,0,True,False,False
0,18,287,0,True,False,False
0,127,133,0,True,False,False
0,133,127,0,True,False,False
0,127,304,0,True,False,False
0,304,127,0,True,False,False
0,127,285,0,True,False,False
0,285,127,0,True,False,False
0,44,229,0,True,False,False
0,229,44,0,True,False,False
0,229,184,0,True,False,False
0,184,229,0,True,False,False
0,229,12,0,True,False,False
0,12,229,0,True,False,False
0,229,253,0,True,False,False
0,253,229,0,True,False,False
0,229,174,0,True,False,False
0,174,229,0,True,False,False
0,227,229,0,True,False,False
0,229,227,0,True,False,False
0,229,264,0,True,False,False
0,264,229,0,True,False,False
0,229,63,0,True,False,False
0,63,229,0,True,False,False
0,229,46,0,True,False,False
0,46,229,0,True,False,False
0,229,106,0,True,False,False
0,106,229,0,True,False,False
0,281,227,0,True,False,False
0,227,281,0,True,False,False
0,227,44,0,True,False,False
0,44,227,0,True,False,False
0,227,3,0,True,False,False
0,3,227,0,True,False,False
0,281,331,0,True,False,False
0,331,281,0,True,False,False
0,331,44,0,True,False,False
0,44,331,0,True,False,False
0,331,50,0,True,False,False
0,50,331,0,True,False,False
0,25,70,0,True,False,False
0,70,25,0,True,False,False
0,3,25,0,True,False,False
0,25,3,0,True,False,False
0,304,14,0,True,False,False
0,14,304,0,True,False,False
0,304,230,0,True,False,False
0,230,304,0,True,False,False
0,304,39,0,True,False,False
0,39,304,0,True,False,False
0,44,211,0,True,False,False
0,211,44,0,True,False,False
0,88,35,0,True,False,False
0,35,88,0,True,False,False
0,174,88,0,True,False,False
0,88,174,0,True,False,False
0,88,302,0,True,False,False
0,302,88,0,True,False,False
0,106,88,0,True,False,False
0,88,106,0,True,False,False
0,174,253,0,True,False,False
0,253,174,0,True,False,False
0,174,106,0,True,False,False
0,106,174,0,True,False,False
0,184,63,0,True,False,False
0,63,184,0,True,False,False
0,63,106,0,True,False,False
0,106,63,0,True,False,False
0,3,211,0,True,False,False
0,211,3,0,True,False,False
0,8,3,0,True,False,False
0,3,8,0,True,False,False
0,264,70,0,True,False,False
0,70,264,0,True,False,False
0,264,46,0,True,False,False
